code2,hyname
600227,生物医药，人造肉，煤化工，创投，医疗器械概念，甲醇，干细胞，硫酸铵，中医药，抗肿瘤，抗癌，保健品，物流骨干网，尿素，参股民营银行
600228,ST板块，尿素，北京国资改革，地方国资改革
600229,文化传媒，网络直播，虚拟现实，蚂蚁金服概念，独角兽概念，VR平台，京东概念，移动互联网，地方国资改革，青岛自贸区，山东国资改革
600230,煤化工，雄安新区，央企国资改革，富时罗素概念股，标普道琼斯A股，硝酸，尿素，TDI
600231,富时罗素概念股，标普道琼斯A股，举牌，振兴东北，铁矿石，油页岩，机构重仓，地方国资改革
600232,工业大麻，锂电池，正极材料，口罩，舟山新区，舟山自贸区，纳米
600233,跨境电商，智能物流，标普道琼斯A股，阿里巴巴概念，富时罗素概念股，双十一，快递，物流骨干网，机构重仓
600234,壳资源，ST板块，电子信息
600235,创投，燃料电池，长三角一体化，人民币升值，纳米，地方国资改革
600236,电力改革，富时罗素概念股，央企国资改革，风电，标普道琼斯A股，北部湾自贸区，机构重仓
600237,华为概念，蓝宝石，富士康概念，新材料概念，金改，新能源汽车，壳资源，元器件，超级电容
600238,生物质能，ST板块，养老概念，举牌，海南自贸区，养老地产，海南旅游岛，保健品
600239,养老概念，标普道琼斯A股，供应链金融，旅游，云南国资改革，地方国资改革
600240,ST板块，养老概念，医疗器械概念，健康中国，独角兽概念，北京环球影城
600241,燃料电池，新能源汽车，锂电池，参股保险，中韩自贸区，辽宁国资改革，锂电制造，地方国资改革
600242,文化传媒，大数据，腾讯概念，阿里巴巴概念，今日头条概念，谷歌概念，Facebook概念，数字营销，广告营销，黄金水道，海洋经济，舟山新区，舟山自贸区
600243,壳资源，股权转让，铁路基建，机床制造
600246,京津冀一体化
600247,ST板块，股权转让，参股保险
600248,氢能源，煤化工，燃料乙醇，天然气，一带一路，地方国资改革
600249,参股银行，生物医药，参股券商，地方国资改革
600250,创投，人民币贬值受益，参股万达商业，南京国资改革，江苏国资改革，地方国资改革
600251,新疆振兴，稀缺资源，证金持股，大数据，红枣，白糖，国改双百行动，棉花种植，地方国资改革
600252,生物医药，证金持股，富时罗素概念股，参股券商，标普道琼斯A股，中以自贸区，中医药，地方国资改革，外汇局持股
600255,文化传媒，股权转让，锂电池，新材料概念，3D打印，影视娱乐，锂电制造，安徽自贸区，村镇银行，参股民营银行
600256,油品改革，页岩气，天然气，新疆振兴，煤化工，一带一路，MSCI概念，证金持股，富时罗素概念股，标普道琼斯A股，甲醇，恒大概念，西气东输，LNG加气站
600257,电子商务，节能环保，互联网金融，白酒，海洋经济，水域改革
600258,在线旅游，阿里巴巴概念，京津冀一体化，电子商务，MSCI预期，富时罗素概念股，标普道琼斯A股，旅游，大消费，住房租赁，海南自贸区，情人节，中概股回归，北京环球影城，北京国资改革，地方国资改革
600259,稀土永磁，小金属概念，稀缺资源，新材料概念，稀土整合，广东国资改革，稀有金属，地方国资改革
